제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
 [JA Korea] BNP Paribas CIB와 JA Korea가 함께하는 금융교육 봉사단 모집(~8/17),20180806,BNP Paribas CIB  JA Korea,청소년방과후아카데미에 방문하여 BNP Paribas CIB 임직원들과 함께 금융교육 프로그램 진행,2018년 8월 6일(월) ~ 8월 17일(금),00명,"사전교육 및 서울에서 활동 가능한 대학(원)생(재학생, 휴학생 가능)",무,,"서울 강남구 수서동, 은평구 응암동",2018년 8월 말 ~ 11월 9일(금)
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180806,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다.봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1회 (RM)지원하는 방법홈페이지 가입 후 가입신청서 작성홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180806,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행",~8/10(금요일), 00명," 대학생이면 누구나 가능(휴학생 포함, 졸업생 불가능)",,," 관악구, 동작구",
 [서울시 주최] 서울아리랑페스티벌 자원활동가 아랑 모집(~8/14),20180806,2018서울아리랑페스티벌 개요 일시 : 2018. 10. 12(금)  10. 14(일) 장소 : 서울 광화문광장 일대 주최 : 서울특별시,공연예술과 전통문화에 관심을 갖고 긍정적인 마음가짐과 적극적인 자세로페스티벌의 일원이 되어 활동할 수 있는 분들의 참여를 기다립니다., 모집기간 * 접수마감 : 2018. 8. 14(화) * 최종발표 : 2018. 8. 20(월)  서아페 공식홈페이지 공지 및 개별연락, 모집인원 : 000명, 모집대상 : 만 18세 이상으로 순수한 열정과 책임감을 갖고 함께 페스티벌을 만들어 나갈 수 있는 사람이라면 누구나 환영! (졸업생 가능),,, 장소 : 서울 광화문광장 일대,사전교육일자·1차 : 오리엔테이션. 2018. 9. 12(수) 19:00 ~ ·2차 : 축제 및 현장소개와 안전교육. 2018. 9. 19(수) 19:00 ~·3차 : 프로그램 별 직무교육. 2018. 10. 4(목) 19:00 ~   활동일정 및 시간 2018. 10. 12(금) 11:00 ~ 22:00 2018. 10. 13(토) 10:00 ~ 22:00 2018. 10. 14(일) 10:00 ~ 21:00
 [2018] 제15회 대한민국 향토食문화대전 2차 자원봉사자 모집 (~8/20),20180806,세계음식문화연구원,"현장 스텝,사무실 스텝",2018년8월 1일 ~ 8월 20일 18:00,많이 지원 부탁드려요^^,"성별, 나이 ,학력, 경력 (무관)",무,,,2018년 11월 8일 ~ 11월 10일
 [산업통상자원부] 전국 중학교 대상 자유학년제 프로그램 멘토 모집 공고,20180806,,:전국 중학교 대상 1~5일차 프로그램 진행 및 운영 (전국 최대 100개교 500회차 교육 운영),":2018년 8월 8일 18:00까지모집 대상(+졸업생 가능여부) :수도권(강원, 충청 포함), 경상권, 전라권 등 3개 권역 대상 멘토 모집우대 사항 :교육, 캠프 등 유사경험자 우대활동 지역 :수도권(강원, 충청 포함), 경상권, 전라권 등 3개 권역활동 기간 :2018년 9월~12월 평일 중 진행활동 혜택 :1회 80,000원 (숙박 및 교통비용은 별도 지급 예정)사전교육 :8월 13일(월), 14일(화), 16일(목), 17일(금) 중 지역별 3일 진행  신바람 에너지스쿨 프로그램 이해를 위한 사전교육/현장체험 진행지원하는 방법 :energy3668@naver.com으로 이력서 발송기타 :유의사항 : 1) 응시원서에 허위 기재 또는 미제출로 인한 불이익은 응시자 본인의 책임으로 합격을  취소할 수 있습니다. 2) 제출한 서류는 반환하지 않으며, 기재사항은 수정이 불가능 합니다. 3) 본 채용 계획은 사정에 의하여 변경될 수 있으며 변경된 사항은 재공고 후 시행할  예정입니다. 4) 사전교육 참여는 필수입니다.",,":수도권(강원, 충청 포함), 경상권, 전라권 등 3개 권역 대상 멘토 모집",,":수도권(강원, 충청 포함), 경상권, 전라권 등 3개 권역 대상 멘토 모집우대 사항 :교육, 캠프 등 유사경험자 우대",":수도권(강원, 충청 포함), 경상권, 전라권 등 3개 권역",:2018년 9월~12월 평일 중 진행
" [D-4] 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180806,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180806,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.",2018년 08월 1일(수) ~ 2018년 08월 15일(수) 입니다.,인원 제한은 없습니다.,"서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",,,서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다)
 강동야학 교육봉사 신임교사 모집 (~8/15),20180806,강동야간학교,초등과학 및 초등사회 교사 모집(수업은 주1회 저녁 7:20~8:50분까지 진행됩니다.),~8월 15일까지,2명,"고등학교 교육 과정을 이수하신 (졸업 및 검정고시) 모든 분 지원 가능합니다(연령, 성별 제한 없습니다)",X,따로 없으며 야학활동에 관심을 가지고 계신분 모두 환영합니다~,"(주소 : 강동구 천호4동 398번지, 천호동성당 근처)   지하철 5,8호선 천호역에서 버스 세 정거장, 도보 15분 (버스 : 고분다리시장 정류장 하차)",임용후 최소 1년
Al Gore 국제환경NGO 기후프로젝트 국내외 기후변화리더 (14기) 모집기간연장 (~08/17),20180806,Al Gore 국제환경NGO 기후프로젝트,"기후프로젝트'기후변화리더'기후변화리더Connector(커넥터)는 지구촌 한 사람,한사람의 힘을 연결하여,지구환경문제해결을 위한 사회적 변화를 주도하는기후프로젝트 활동가의 명칭입니다.다큐멘터리‘불편한 진실(AnInconvenient Truth)’에서Al Gore전 미국 부통령이 했던 것과 같은Slideshow Presentation을 직접 담당하여 기후변화 대중교육과 시민실천운동을 주도합니다.기후변화리더활동기후변화 문제에 대한 대중의 인식을 변화시키고,기후변화 문제 해결을 위한 실천 의지를제고시키기 위한 기후변화 대중 환경교육을 담당할 것입니다.기후변화리더양성 프로그램: TCRP ClimateLeadership Training (앨고어씨 주관,국제행사), Connector(커넥터)양성교육기후변화대중교육 프로그램: TCRPPresentation, 24Hours of Reality,청소년 기후변화/환경교실,어린이 환경교실 등 참가기후변화리더(커넥터)월 정기미팅:미국본부로부터 받은 업데이트 자료 교육,커넥터 활동 발표 및 토의,행사 및 프리젠테이션 계획 발표 및논의,그 외 기타 교육 실시.일정은 매월 추후 사전 공지AlGore전 미국부통령이 직접 주관하는 기후변화 활동가 양성 국제행사:TCRPREALITY LEADERSHIP CORPS TRAINING,글로벌행사’24 Hours of Reality’,기타 등 국제 행사 홍보 및한국내 행사진행기후변화리더양성교육 프로그램 일환인 기후변화리더(커넥터)그룹활동Climate Reality Leadership Group Activity (must attendaccording to each one’s schedule): ‘지구의 지속 가능한 발전과 번영을 향하는길’을 고민하는 기후프로젝트 한국지부 리더십 프로그램 교육그룹<Climate Reality Leadership Group Activity >Climate + ActionClimate + PlanningClimate + LeadershipTCRP Presentation●기후변화대중교육프로그램:대학교/지자체(동,구)/기업/기타단체및기관내특강및공개강좌제공.●청소년(초중고)환경교육프로그램:청소년기후변화/환경교실홍보기획/경영지원기획운영,영상제작,미디어홍보,경영지원,번역등업무●기후프로젝트단체활동에관한전반적인홍보●대학/기관/단체/기업커뮤니케이션보조●홍보소식지제작및이멜발송●행사진행시사진촬영●동영상촬영및편집●단체의주요사업분야운영보조●문서작업●행사운영요원및프로젝트집행Climate Reality Leadership Training●기후프로젝트국제리더십트레이닝:단체설립자인Al Gore전미국부통령이직접참여,행사를주관하는국제행사●기후프로젝트국내리더십트레이닝:기후프로젝트한국지부가주관하는행사TCRP Action그룹●Al Gore전미국부통령이직접주관하는기후변화활동가양성하는국제행사:TCRPREALITY LEADERSHIP CORPS TRAINING,글로벌행사’24 Hours of Reality’,기타등국제행사홍보및한국내행사진행●정부기관행사참여및지역사회(시민참여)캠페인주관●환경과 기후의 소중함을 다시 한번 깨닫고 지속 가능한 지구환경사랑을 위한‘지구환경보존 및 멸종위기동물보호 관심과 나눔’실천 활동에 참여함으로써,지속 가능한 지구환경 회복.●저탄소/자원순환/에너지 절감 친환경 생활 실천이 시민의 생활 속에 정착될 수 있는 계기와 지구환경과 미래 인류 세대를 보호하고 지속가능한 삶으로의 변화를 위하여 많은 시민들의 관심과 참여를 촉진하여 환경교육참여,환경약자인 취약계층 및 생태계 보호 확대 실천운동 주도번역(교육자료영한번역,본부교육동영상영한번역등업무)●미국본부주요이슈뉴스및교육자료영한번역,●본부교육동영상영한번역,●간단한통역Humanitas (후마니타스,인문학)그룹●후마니타스교육그룹은글로벌리더의꿈을실현하는데도움이되는다양한인문지식이필요한이시대에꼭알아야할인문학적주제를다루며‘인생철학’과‘삶의지혜’를배우고지적욕구를충족시키며,폭넓고균형잡힌시각과인간적소양을높이고올바른가치관을형성하는그룹.●우리는어떤세계를만들고있는가?우리는어떤세계를만들어야하는가?우리는어떤세계를만들수있는가?●공공선의향상은핵심목표가되었고,시민사회의미덕을성취하는것은지성과상상력을최대한으로사용하는것과연관되어있다.●행동을강조하려면사유가특별히중요하다.정의,평등,진리같은가치들을이해하는것의중요성은,그저관심만갖는다고해서필요한것들을얻을수없다는것을점점확연하게드러낸다.●공적행동에초점을맞춘우리가발견한가장중요한것은어려운선택은선과악사이의선택이아니라경쟁하는선들사이의선택이라는것이다.이발견은변화를일으킨다.디자인자원활동(포토샵,일러스트,기타)●브로셔/팜플렛/소식지/각종홍보물디자인●홈페이지,웹디자인","지원서접수마감:2018. 08.17 (금)(TCRP기후변화리더14기 지원서 작성요)서류합격자및 면접일정발표: 추후공지(신청순대로 면접일정 논의 할 것임)면접일정:추후개별 통보(서울,경기,인천지역 외 거주 지원자 면접일정 변경 논의가능)면접장소:기후프로젝트 한국지부 사무국,홈페이지(http://www.sgf.or.kr)찾아오시는 길 참조합격자발표:추후개별 통보오리엔테이션 일정:추후개별통보",최대4팀(평일또는주말프로그램활동그룹별각1팀/국내인&외국인4~5인규모로1팀구성*모집결과에 따라선발규모는변경될수있습니다.,"환경문제에 대한 많은 관심과 더불어 지구환경보존실천을 하고자 하시는 모든 분들열정과 책임감 강하고 사회공헌 자원활동에 지대한 관심 있는 모든 분들교육이수 후6개월간 기후변화 대중교육(Presentation)활동의 실행을 서약하는 분(활동시행기간은 언제든지 연장가능)직장인,일반인,고등/대학생,기타 등.연령,성별,학벌,외국어실력 무관기후변화활동가 그룹활동및프로젝트참여시단체내부정보보완유지,모든교육자료저작권보호에대한분명한인식 졸업생 가능",무,"환경관련 교육,교육 컨텐츠 기획,기관단체학교 행사 기획 및 집행,국제행사및 이벤트기획 및 주관 참여,온앤오프홍보 기획,단체SNS홍보 및 관리,국내외 캠페인 기획 및 주관 참여,유경험자 우대교육이수 후6개월간 기후변화 대중교육(Presentation)활동의 실행을 서약하는 분(활동시행기간은 언제든지 연장가능)직장인,일반인,고등/대학생,기타 등.연령,성별,학벌,외국어실력 무관기후변화활동가 그룹활동및프로젝트참여시단체내부정보보완유지,모든교육자료저작권보호에대한분명한인식","기후프로젝트 한국지부 사무국(서울),서울지역 포함하여 전국 지역",양성교육OT이수후6개월간(활동시행기간은 언제든지 연장가능/부득이한 개인사정상 활동기간 논의가능)
